item_id,location,ds,y,product_category
sku - 066,Jakarta,12/1/22 0:00,215,Interior components
sku - 066,Jakarta,11/1/22 0:00,255,Interior components
sku - 066,Jakarta,10/1/22 0:00,292,Interior components
sku - 066,Jakarta,9/1/22 0:00,316,Interior components
sku - 066,Jakarta,8/1/22 0:00,320,Interior components
sku - 066,Jakarta,7/1/22 0:00,303,Interior components
sku - 066,Jakarta,6/1/22 0:00,270,Interior components
sku - 066,Jakarta,5/1/22 0:00,230,Interior components
sku - 066,Jakarta,4/1/22 0:00,193,Interior components
sku - 066,Jakarta,3/1/22 0:00,169,Interior components
sku - 066,Jakarta,2/1/22 0:00,255,Interior components
sku - 066,Jakarta,1/1/22 0:00,295,Interior components
sku - 066,Jakarta,12/1/21 0:00,348,Interior components
sku - 066,Jakarta,11/1/21 0:00,413,Interior components
sku - 066,Jakarta,10/1/21 0:00,473,Interior components
sku - 066,Jakarta,12/1/23 0:00,300,Interior components
sku - 066,Jakarta,11/1/23 0:00,300,Interior components
sku - 066,Jakarta,10/1/23 0:00,300,Interior components
sku - 066,Jakarta,9/1/23 0:00,410,Interior components
sku - 066,Jakarta,8/1/23 0:00,415,Interior components
sku - 066,Jakarta,7/1/23 0:00,344,Interior components
sku - 066,Jakarta,6/1/23 0:00,306,Interior components
sku - 066,Jakarta,5/1/23 0:00,390,Interior components
sku - 066,Jakarta,4/1/23 0:00,188,Interior components
sku - 066,Jakarta,3/1/23 0:00,165,Interior components
sku - 066,Jakarta,2/1/23 0:00,165,Interior components
sku - 066,Jakarta,1/1/23 0:00,182,Interior components
sku - 015,London,12/1/22 0:00,289,Safety equipment
sku - 187,Tokyo,12/1/22 0:00,318,Suspension and steering
sku - 015,London,11/1/22 0:00,290,Safety equipment
sku - 187,Tokyo,11/1/22 0:00,240,Suspension and steering
sku - 015,London,10/1/22 0:00,291,Safety equipment
sku - 187,Tokyo,10/1/22 0:00,240,Suspension and steering
sku - 015,London,9/1/22 0:00,293,Safety equipment
sku - 187,Tokyo,9/1/22 0:00,240,Suspension and steering
sku - 015,London,8/1/22 0:00,300,Safety equipment
sku - 187,Tokyo,8/1/22 0:00,314,Suspension and steering
sku - 015,London,7/1/22 0:00,300,Safety equipment
sku - 187,Tokyo,7/1/22 0:00,393,Suspension and steering
sku - 015,London,6/1/22 0:00,241,Safety equipment
sku - 187,Tokyo,6/1/22 0:00,393,Suspension and steering
sku - 015,London,5/1/22 0:00,241,Safety equipment
sku - 187,Tokyo,5/1/22 0:00,393,Suspension and steering
sku - 015,London,4/1/22 0:00,239,Safety equipment
sku - 187,Tokyo,4/1/22 0:00,393,Suspension and steering
sku - 015,London,3/1/22 0:00,299,Safety equipment
sku - 187,Tokyo,3/1/22 0:00,393,Suspension and steering
