item_id,location,ds,y,product_category
sku - 121,Port Melissaberg,2022-02-01,358,Suspension and steering
sku - 704,Byrdtown,2024-12-01,217,Electrical systems
sku - 737,North Michael,2023-01-01,336,Electrical systems
sku - 670,South Carol,2023-11-01,213,Interior components
sku - 802,Annebury,2022-11-01,168,Interior components
sku - 392,West Jonathanton,2020-05-01,130,Powertrain Components
sku - 707,Justinchester,2024-02-01,469,Suspension and steering
sku - 452,Johnsonberg,2020-05-01,426,Electrical systems
sku - 215,Amandabury,2022-02-01,338,EV Batteries
sku - 863,Gailmouth,2023-05-01,211,Electrical systems
sku - 365,Smithfort,2021-08-01,134,Suspension and steering
sku - 591,Lake Miguel,2023-03-01,235,Powertrain Components
sku - 712,Amytown,2024-03-01,359,Suspension and steering
sku - 780,Jenniferstad,2023-07-01,198,EV Batteries
sku - 428,West Carolborough,2021-09-01,316,Electrical systems
sku - 181,Lake Sheila,2020-10-01,379,Body and chassis
sku - 298,Port Melissa,2024-04-01,277,Powertrain Components
sku - 219,Leefort,2023-01-01,396,Interior components
sku - 394,West Kylefurt,2025-02-01,461,Electrical systems
sku - 422,Jonesville,2020-10-01,307,Body and chassis
sku - 970,Carpentermouth,2021-01-01,103,Electrical systems
sku - 805,Edwardsbury,2021-06-01,450,Safety equipment
sku - 111,Veronicastad,2021-09-01,343,Powertrain Components
sku - 706,Sabrinamouth,2023-04-01,271,Suspension and steering
sku - 967,New Theresashire,2022-07-01,469,Powertrain Components
sku - 547,Port Lindaville,2021-03-01,466,Body and chassis
sku - 742,Gonzalesport,2022-06-01,286,Electrical systems
sku - 374,Pattersonberg,2021-10-01,475,Body and chassis
sku - 806,Stephaniemouth,2020-04-01,494,EV Batteries
sku - 736,Johnsonmouth,2021-06-01,438,Interior components
sku - 225,West Jose,2021-09-01,451,Powertrain Components
sku - 424,Port Cindyton,2024-11-01,470,Suspension and steering
sku - 226,Kimberlychester,2020-04-01,152,Body and chassis
sku - 380,Dunnland,2022-09-01,161,Safety equipment
sku - 138,North Jamiemouth,2021-07-01,227,Suspension and steering
sku - 102,East Toddport,2020-01-01,468,Suspension and steering
sku - 651,Port Ashley,2023-07-01,439,Interior components
sku - 702,Jenkinsburgh,2025-01-01,300,Electrical systems
sku - 838,Josetown,2020-04-01,170,Powertrain Components
sku - 866,Deannaberg,2022-03-01,493,Suspension and steering
sku - 992,Jonathanton,2022-06-01,407,Body and chassis
sku - 222,New Michelle,2020-08-01,102,Electrical systems
sku - 373,Huangbury,2022-08-01,261,Suspension and steering
sku - 495,Port Gabrielton,2022-11-01,223,EV Batteries
sku - 700,Jonesberg,2020-12-01,126,Suspension and steering
sku - 162,Davidchester,2024-12-01,197,Powertrain Components
sku - 563,Matthewberg,2022-01-01,299,Electrical systems
sku - 189,Phillipsville,2021-08-01,213,Interior components
sku - 137,New Zachary,2022-12-01,196,Suspension and steering
sku - 779,Lake Michaelfurt,2022-09-01,390,Suspension and steering
sku - 438,Lake Frank,2023-01-01,378,Electrical systems
sku - 970,Johnsonshire,2021-10-01,498,Electrical systems
sku - 891,Larryburgh,2024-04-01,483,Safety equipment
sku - 416,Weaverton,2020-10-01,131,Safety equipment
sku - 421,Port Richardport,2021-03-01,272,Interior components
sku - 807,West Karen,2023-08-01,405,Interior components
sku - 998,Davidfort,2022-11-01,249,Electrical systems
sku - 329,West Jesse,2023-03-01,311,Interior components
sku - 589,East Beth,2022-02-01,119,Electrical systems
sku - 448,South Stacytown,2022-01-01,497,Suspension and steering
sku - 980,Port Kaitlynshire,2021-07-01,377,EV Batteries
sku - 519,Millerfort,2021-05-01,474,Powertrain Components
